data_source,Tissue type,Cancer type,Cancer subtype,joint tissue type,joint Cancer type,joint Cancer subtype,matching cancer type,matching cancer subtype
ProCan_cell_line,cervix,cervical carcinoma,cervical carcinoma,cervix,cervical carcinoma,cervical adenocarcinoma,FALSE,FALSE
ProCan_cell_line,liver,hepatocellular carcinoma,hepatoblastoma,liver,liver carcinoma,hepatoblastoma,TRUE,TRUE
ProCan_cell_line,haematopoietic and lymphoid,acute myeloid leukemia,acute myelomonocytic leukemia,haematopoietic and lymphoid,leukemia,acute myelomonocytic leukemia,FALSE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,acute myeloid leukemia,erythroleukemia,haematopoietic and lymphoid,leukemia,erythroleukemia,FALSE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,t-cell non-hodgkin's lymphoma,cutaneous t-cell lymphoma,haematopoietic and lymphoid,lymphoma,T-cell lymphoma,TRUE,FALSE
ProCan_cell_line,thyroid,thyroid gland carcinoma,thyroid gland anaplastic carcinoma,thyroid,thyroid carcinoma,thyroid anaplastic carcinoma,TRUE,FALSE
ProCan_cell_line,thyroid,thyroid gland carcinoma,poorly differentiated thyroid gland carcinoma,thyroid,thyroid carcinoma,poorly differentiated thyroid gland carcinoma,TRUE,FALSE
ProCan_cell_line,lung,non-small cell lung carcinoma,adenosquamous lung carcinoma,lung,lung carcinoma,adenosquamous lung carcinoma,TRUE,FALSE
ProCan_cell_line,head and neck,head and neck carcinoma,salivary gland squamous cell carcinoma,head and neck,head and neck carcinoma,head and neck squamous carcinoma,TRUE,TRUE
ProCan_cell_line,ovary,ovarian carcinoma,ovarian endometrioid adenocarcinoma,ovary,ovarian carcinoma,ovarian endometrioid adenocarcinoma,TRUE,TRUE
ProCan_cell_line,soft tissue,other sarcomas,epithelioid sarcoma,smooth muscle and soft tissue,sarcoma,epithelioid sarcoma,TRUE,FALSE
ProCan_cell_line,soft tissue,other sarcomas,fibrosarcoma,smooth muscle and soft tissue,sarcoma,fibrosarcoma,TRUE,TRUE
ProCan_cell_line,soft tissue,other sarcomas,epithelioid cell type gastrointestinal stromal tumor,smooth muscle and soft tissue,sarcoma,epithelioid cell type gastrointestinal stromal tumor,TRUE,FALSE
ProCan_cell_line,biliary tract,biliary tract carcinoma,gallbladder carcinoma,biliary tract,bladder carcinoma,gallbladder carcinoma,TRUE,FALSE
ProCan_cell_line,bone,chondrosarcoma,missing,bone,sarcoma,chondrosarcoma,TRUE,FALSE
ProCan_cell_line,breast,breast carcinoma,breast squamous cell carcinoma,breast,breast carcinoma,breast squamous cell carcinoma,TRUE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,b-cell non-hodgkin's lymphoma,mantle cell lymphoma,haematopoietic and lymphoid,lymphoma,B-cell lymphoma,TRUE,FALSE
ProCan_cell_line,soft tissue,other sarcomas,undifferentiated pleomorphic sarcoma,smooth muscle and soft tissue,sarcoma,undifferentiated pleomorphic sarcoma,TRUE,FALSE
ProCan_cell_line,endometrium,endometrial carcinoma,endometrial adenosquamous carcinoma,endometrium,endometrial carcinoma,endometrial adenosquamous carcinoma,TRUE,FALSE
ProCan_cell_line,ovary,other solid carcinomas,ovarian mixed germ cell tumor,ovary,ovarian carcinoma,ovarian mixed germ cell tumor,TRUE,FALSE
ProCan_cell_line,soft tissue,other sarcomas,uterine corpus sarcoma,smooth muscle and soft tissue,sarcoma,uterine corpus sarcoma,TRUE,FALSE
ProCan_cell_line,small intestine,other solid carcinomas,duodenal adenocarcinoma,small intestine,small intestine carcinoma,small intestine adenocarcinoma,TRUE,TRUE
ProCan_cell_line,head and neck,head and neck carcinoma,hypopharyngeal squamous cell carcinoma,head and neck,head and neck carcinoma,head and neck squamous carcinoma,TRUE,TRUE
ProCan_cell_line,thyroid,thyroid gland carcinoma,thyroid gland follicular carcinoma,thyroid,thyroid carcinoma,thyroid follicular carcinoma,TRUE,FALSE
ProCan_cell_line,lung,other solid carcinomas,bronchogenic carcinoma,lung,lung carcinoma,bronchogenic carcinoma,TRUE,FALSE
ProCan_cell_line,prostate,non-cancerous,sv-40 transformed prostatic,prostate,sv-40 transformed prostatic,sv-40 transformed prostatic,FALSE,FALSE
ProCan_cell_line,placenta,other solid carcinomas,gestational choriocarcinoma,placenta,placental carcinoma,gestational choriocarcinoma,FALSE,FALSE
ProCan_cell_line,other tissue,other solid carcinomas,rhabdoid tumour of the kidney,other,rhabdoid tumour,rhabdoid tumor kidney,TRUE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,acute myeloid leukemia,childhood acute myeloid leukemia with maturation,haematopoietic and lymphoid,leukemia,childhood acute myeloid leukemia with maturation,FALSE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,acute myeloid leukemia,acute promyelocytic leukemia,haematopoietic and lymphoid,leukemia,acute promyelocytic leukemia,FALSE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,b-lymphoblastic leukemia,missing,haematopoietic and lymphoid,leukemia,B-cell leukemia,FALSE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,other blood cancers,acute biphenotypic leukemia,haematopoietic and lymphoid,leukemia,acute biphenotypic leukemia,FALSE,FALSE
ProCan_cell_line,head and neck,head and neck carcinoma,floor of mouth squamous cell carcinoma,head and neck,head and neck carcinoma,head and neck squamous carcinoma,TRUE,TRUE
ProCan_cell_line,thyroid,thyroid gland carcinoma,anaplastic thyroid carcinoma,thyroid,thyroid carcinoma,thyroid anaplastic carcinoma,TRUE,FALSE
ProCan_cell_line,ovary,ovarian carcinoma,missing,ovary,ovarian carcinoma,missing,TRUE,FALSE
ProCan_cell_line,skin,other solid carcinomas,skin squamous cell carcinoma,skin,skin carcinoma,skin squamous cell carcinoma,TRUE,TRUE
ProCan_cell_line,haematopoietic and lymphoid,acute myeloid leukemia,childhood acute myeloid leukemia,haematopoietic and lymphoid,leukemia,childhood acute myeloid leukemia,FALSE,FALSE
ProCan_cell_line,head and neck,head and neck carcinoma,laryngeal squamous cell carcinoma,head and neck,head and neck carcinoma,head and neck squamous carcinoma,TRUE,TRUE
ProCan_cell_line,stomach,gastric carcinoma,gastric choriocarcinoma,stomach,germ cell tumor,stomach choriocarcinoma,FALSE,FALSE
ProCan_cell_line,vulva,vulvar carcinoma,vulvar carcinoma,vulvar,vulvar carcinoma,vulvar carcinoma,FALSE,FALSE
ProCan_cell_line,head and neck,head and neck carcinoma,pyriform fossa squamous cell carcinoma,head and neck,head and neck carcinoma,head and neck squamous carcinoma,TRUE,TRUE
ProCan_cell_line,cervix,cervical carcinoma,cervical squamous cell carcinoma,cervix,cervical carcinoma,cervical squamous cell carcinoma,FALSE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,other blood cancers,natural killer cell lymphoblastic leukemia or lymphoma,haematopoietic and lymphoid,,NK cell leukemia-lymphoma,FALSE,FALSE
ProCan_cell_line,large intestine,colorectal carcinoma,rectal adenocarcinoma,large intestine,colorectal carcinoma,colorectal adenocarcinoma,TRUE,TRUE
ProCan_cell_line,skin,melanoma,vulvar melanoma,vulvar,vulvar melanoma,vulvar melanoma,FALSE,FALSE
ProCan_cell_line,head and neck,head and neck carcinoma,oral dysplasia,head and neck,normal head and neck,oral dysplasia,TRUE,TRUE
ProCan_cell_line,thyroid,thyroid gland carcinoma,thyroid gland squamous cell carcinoma,thyroid,thyroid carcinoma,thyroid squamous carcinoma,TRUE,FALSE
ProCan_cell_line,esophagus,esophageal carcinoma,barrett adenocarcinoma,esophagus,esophageal carcinoma,barrett adenocarcinoma,TRUE,FALSE
ProCan_cell_line,kidney,kidney carcinoma,papillary renal cell carcinoma,kidney,kidney carcinoma,papillary renal cell carcinoma,TRUE,TRUE
ProCan_cell_line,skin,melanoma,mucosal melanoma,skin,skin melanoma,mucosal melanoma,TRUE,FALSE
ProCan_cell_line,pancreas,other solid carcinomas,pancreatic somatostatinoma,pancreas,pancreatic carcinoma,pancreatic somatostatinoma,TRUE,FALSE
ProCan_cell_line,haematopoietic and lymphoid,acute myeloid leukemia,adult acute monocytic leukemia,haematopoietic and lymphoid,leukemia,adult acute monocytic leukemia,FALSE,FALSE
ProCan_cell_line,thyroid,thyroid gland carcinoma,thyroid gland papillary carcinoma,thyroid,thyroid carcinoma,thyroid papillary carcinoma,TRUE,TRUE
ProCan_cell_line,soft tissue,leiomyosarcoma,uterine corpus leiomyosarcoma,smooth muscle and soft tissue,sarcoma,leiomyosarcoma,TRUE,TRUE
ProCan_cell_line,soft tissue,other sarcomas,endometrial stromal sarcoma,smooth muscle and soft tissue,sarcoma,endometrial stromal sarcoma,TRUE,FALSE
ProCan_cell_line,soft tissue,leiomyosarcoma,vulvar leiomyosarcoma,smooth muscle and soft tissue,sarcoma,leiomyosarcoma,TRUE,TRUE
ProCan_cell_line,bladder,bladder carcinoma,urothelial carcinoma,bladder,bladder carcinoma,bladder carcinoma,TRUE,TRUE
ProCan_cell_line,soft tissue,rhabdomyosarcoma,missing,smooth muscle and soft tissue,sarcoma,rhabdomyosarcoma,TRUE,TRUE
ProCan_cell_line,breast,breast carcinoma,invasive lobular breast carcinoma,breast,breast carcinoma,invasive lobular breast carcinoma,TRUE,FALSE
ProCan_cell_line,stomach,gastric carcinoma,gastric small cell carcinoma,stomach,stomach carcinoma,stomach small cell neuroendocrine carcinoma,TRUE,FALSE
ProCan_cell_line,stomach,gastric carcinoma,gastic small cell neuroendocrine carcinoma,stomach,stomach carcinoma,stomach small cell neuroendocrine carcinoma,TRUE,FALSE
ProCan_cell_line,skin,other solid carcinomas,vulvar squamous cell carcinoma,vulvar,vulvar carcinoma,vulvar squamous cell carcinoma,FALSE,FALSE
ProCan_cell_line,head and neck,head and neck carcinoma,pharyngeal squamous cell carcinoma,head and neck,head and neck carcinoma,head and neck squamous carcinoma,TRUE,TRUE
ProCan_cell_line,stomach,gastric carcinoma,gastric fundus carcinoma,stomach,stomach carcinoma,stomach adenocarcinoma,TRUE,TRUE
ProCan_cell_line,head and neck,head and neck carcinoma,tonsillar squamous cell carcinoma,head and neck,head and neck carcinoma,head and neck squamous carcinoma,TRUE,TRUE
ProCan_cell_line,central nervous system,glioma,oligodendroglioma,central nervous system,glioma,oligodendroglioma,TRUE,FALSE
ProCan_cell_line,lung,other solid carcinomas,lung carcinoma,lung,lung carcinoma,missing,FALSE,FALSE
ProCan_cell_line,other tissue,other solid carcinomas,sacral chordoma,notochordal,notochordal tumor,sacral chordoma,FALSE,FALSE
ProCan_cell_line,lung,uncertain,missing,lung,missing,missing,FALSE,FALSE
ProCan_cell_line,prostate,prostate carcinoma,prostate small cell carcinoma,prostate,carcinoma,prostate small cell carcinoma,TRUE,FALSE
FDL_patient,adipose tissue,normal,normal adipose tissue,adipose tissue,normal adipose tissue,normal adipose tissue,FALSE,FALSE
FDL_patient,adipose tissue,sarcoma,liposarcoma,adipose tissue,sarcoma,liposarcoma,FALSE,FALSE
FDL_patient,bladder,transitional cell carcinoma,transitional cell bladder,bladder,bladder carcinoma,bladder carcinoma,TRUE,TRUE
FDL_patient,bladder,normal,normal bladder,bladder,normal bladder,normal bladder,FALSE,FALSE
FDL_patient,bone,sarcoma,osteosarcoma,bone,sarcoma,osteosarcoma,TRUE,TRUE
FDL_patient,bone,normal,normal bone,bone,normal bone,normal bone,FALSE,FALSE
FDL_patient,bone,sarcoma,ewing sarcoma,bone,sarcoma,ewing sarcoma,TRUE,TRUE
FDL_patient,brain,glioblastoma,glioblastoma,central nervous system,glioma,glioblastoma,TRUE,TRUE
FDL_patient,breast,normal,normal breast,breast,normal breast,normal breast,FALSE,FALSE
FDL_patient,breast,adenocarcinoma,breast carcinoma,breast,breast carcinoma,breast adenocarcinoma,TRUE,TRUE
FDL_patient,cholangiocarcinoma,normal,normal liver,biliary tract,normal liver,normal liver,FALSE,FALSE
FDL_patient,cholangiocarcinoma,adenocarcinoma,cholangiocarcinoma,biliary tract,cholangiocarcinoma,cholangiocarcinoma,TRUE,TRUE
FDL_patient,colorectal,normal,normal colon,large intestine,normal colon,normal colon,FALSE,FALSE
FDL_patient,colorectal,adenocarcinoma,colorectal adenocarcinoma,large intestine,colorectal carcinoma,colorectal adenocarcinoma,TRUE,TRUE
FDL_patient,endometrial,adenocarcinoma,endometrial adenocarcinoma,endometrium,endometrial carcinoma,endometrial adenocarcinoma,TRUE,TRUE
FDL_patient,gallbladder,normal,normal liver,biliary tract,normal liver,normal liver,FALSE,FALSE
FDL_patient,head and neck,normal,normal head and neck,head and neck,normal head and neck,normal head and neck,TRUE,FALSE
FDL_patient,head and neck,squamous,head and neck squamous,head and neck,head and neck carcinoma,head and neck squamous carcinoma,TRUE,TRUE
FDL_patient,kidney,wilm's tumour,wilm's tumour,kidney,wilm's tumour,wilm's tumour,FALSE,FALSE
FDL_patient,kidney,renal cell carcinoma,clear cell renal cell carcinoma,kidney,renal cell carcinoma,clear cell renal cell carcinoma,TRUE,TRUE
FDL_patient,kidney,renal cell carcinoma,papillary renal cell carcinoma,kidney,renal cell carcinoma,papillary renal cell carcinoma,TRUE,TRUE
FDL_patient,kidney,normal,normal kidney,kidney,normal kidney,normal kidney,FALSE,FALSE
FDL_patient,liver,normal,normal liver,liver,normal liver,normal liver,FALSE,FALSE
FDL_patient,liver,normal,normal bladder,liver,normal bladder,normal bladder,FALSE,FALSE
